ID,Posted at,Screen name,Text
585786309555290113,2015-04-08 12:48:34 +0000,zevross,"What I learned at #openvisconf (3/5): News organizations are incredible #dataviz practitioner and innovators (talks by @hfairfield, @alykat)"
585786230941421570,2015-04-08 12:48:15 +0000,zevross,What I learned at #openvisconf (2/5): D3 rules the world - nothing else comes close (duh)!
585786065539076096,2015-04-08 12:47:36 +0000,zevross,What I learned at #openvisconf (1/5): Passion for a project can be more important than experience (talks by @laurmccarthy @iwebst @cambecc)
585784359535452160,2015-04-08 12:40:49 +0000,kbapur,RT @moebio: Subscribe to Lichen (recently featured at #openvisconf) mailing list to be notified about launch and major releases http://t.co/8QeebH8DmF
585784309136654336,2015-04-08 12:40:37 +0000,ojalajuho,RT @Zebraengine: Definitely intrigued by Coquito's potential #openvisconf http://t.co/ewLLeUcqxT
585777504209788929,2015-04-08 12:13:34 +0000,OpenDataSci,RT @DataRobot: We're hiring for a Data Visualization Engineer. Is this you? Position details: http://t.co/9LuRAeNUdf #openvisconf http://t.co/ONgjSa3jNA
585774579035013120,2015-04-08 12:01:57 +0000,derekrosien,RT @pi_inthecloud: Having fun with @laurmccarthy's p5.js face tracking example #openvisconfaftermath #openvisconf cc @esdot http://t.co/l5mxiQyfjQ
585769056365637632,2015-04-08 11:40:00 +0000,DataAndDataViz,RT @jegeragh: How emotion impacts graphical perception by @laneharrison #openvisconf http://t.co/WMm1N11FJN
585767768865148929,2015-04-08 11:34:53 +0000,CultureClap,"RT @pelotom: ""Open data is in some sense more important than open source."" @cambecc at #openvisconf http://t.co/bOnDtq08D4"
585767127166115841,2015-04-08 11:32:20 +0000,jschwabish,"RT @pelotom: ""Open data is in some sense more important than open source."" @cambecc at #openvisconf http://t.co/bOnDtq08D4"
585743685851152386,2015-04-08 09:59:11 +0000,DataAndDataViz,"RT @lenagroeger: 👉 Have all text for a graphic (hed, dek, footnotes) in a Google spreadsheet that everyone can see/edit. -@alykat Great advice. #openvisconf"
585742383188353024,2015-04-08 09:54:01 +0000,k_wade_a,RT @DaigoFuji: Amazing. This solves a lot of problem for me: http://t.co/FsWZrqqWeA copytext from NPR's visual team via @alykat #OpenVisConf
585740819275055105,2015-04-08 09:47:48 +0000,agodwinappears,RT @OpenVisConf: Hearing about Weber's Law from @laneharrison. #openvisconf http://t.co/gduxCU3pww
585730069064196096,2015-04-08 09:05:05 +0000,suzan,RT @arnicas: Big Data plotting is actually easy -@FisherDanyel #openvisconf http://t.co/tC9UhZGLf7
585726830168145920,2015-04-08 08:52:13 +0000,Searylis,RT @arnicas: The history of scrolling by @vlandham #openvisconf http://t.co/c94owohlV5
585726565985742848,2015-04-08 08:51:10 +0000,FernandoMigueI,RT @arnicas: The history of scrolling by @vlandham #openvisconf http://t.co/c94owohlV5
585724367881035776,2015-04-08 08:42:26 +0000,ECIR2015,RT @arnicas: Big Data plotting is actually easy -@FisherDanyel #openvisconf http://t.co/tC9UhZGLf7
585710368053407745,2015-04-08 07:46:48 +0000,uta_ente,"RT @dominikus: find my #openvisconf slides on 'performance vs pain - svg, canvas & webgl' here: http://t.co/EtZCjq5t82"
585707991065833473,2015-04-08 07:37:21 +0000,thefercook,RT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/hkIRhLAvOE
585707499166244865,2015-04-08 07:35:24 +0000,thefercook,"RT @dominikus: ""the power of visualization: implicit authority. no one actually checks your stuff"" @cambecc at #openvisconf"
585698466007015426,2015-04-08 06:59:30 +0000,nikolasander,RT @arvindsatya1: Really like this stack of fostering an open source community from @jonobr1 #openvisconf http://t.co/Mlj7sUe1Xo
585690404265263104,2015-04-08 06:27:28 +0000,random_walkings,rt duffy's lawyer admits some of the prime use cases for transitions between states #openvisconf
585686109448974337,2015-04-08 06:10:24 +0000,noruweijin,RT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/hkIRhLAvOE
585685794670653440,2015-04-08 06:09:09 +0000,cambecc,RT @lenagroeger: Sometimes at #openvisconf it's like http://t.co/hkIRhLAvOE
585684961371561984,2015-04-08 06:05:50 +0000,OpenDataZurich,RT @jue_yang: Astroids = rocks in space. Astroid viz = webGL rocks http://t.co/wuJatisREf #openvisconf
